Regime,Forest_type,Species,Distance,DBH,Height,Stem_Volume,,
Buffer_zone,Saal,Cleistocalyx operculatus,12.5,5,8,0.000628319,,
Buffer Zone CF,STMHWF,Melia azedarach,0,5,3.1,0.001521709,,
Buffer Zone CF,Saal,Shorea robusta,2.5,5,3.4,0.001668971,,
Buffer Zone CF,Saal,Shorea robusta,3,5,3.8,0.001865321,,
Buffer Zone CF,Saal,Holarrhena pubiscens,1.5,5,3.1,0.001521709,,
Buffer Zone CF,Saal,Holarrhena pubiscens,1.5,5,3,0.001472622,,
Buffer_zone,Saal,Cleistocalyx operculatus,0,5,2.4,0.001178097,,
Buffer_zone,Saal,Shorea robusta,4,5,2.5,0.001227185,,
Buffer_zone,Saal,Shorea robusta,3,5,5,0.002454369,,
Buffer_zone,Saal,Shorea robusta,1,5,4.5,0.002208932,,
Buffer_zone,Saal,Cleistocalyx operculatus,0,5,2,0.000981748,,
Buffer_zone,Saal,Casearia graveolens,2.5,5,3.2,0.001570796,,
Buffer_zone,Saal,Terminalia alata,0,5,3.6,0.001767146,,
Buffer_zone,Saal,Shorea robusta,2.5,5,3,0.001472622,,
Buffer_zone,Saal,Shorea robusta,4,5,3.5,0.001718058,,
Buffer_zone,Saal,Shorea robusta,4,5,3.5,0.001718058,,
Community,Saal,Casearia graveolens,0,5,2,0.000981748,,
Community,Saal,Cleistocalyx operculatus,2,5,2.5,0.001227185,,
Community,Saal,Xeromorphis spinosa,2.5,5,3.4,0.001668971,,
Community,Saal,Cleistocalyx operculatus,4,5,1.2,0.000589049,,
Community,Saal,Cleistocalyx operculatus,4,5,1.3,0.000638136,,
Community,Saal,Cleistocalyx operculatus,0.5,5,2.8,0.001374447,,
Community,Saal,Casearia graveolens,2,5,2.5,0.001227185,,
Community,Saal,Casearia graveolens,3,5,2.5,0.001227185,,
Community,Saal,Lagerstroemia parviflora,0,5,2.5,0.001227185,,
Community,STMHWF,Dillenia pentagyna,3,5,2.8,0.001374447,,
Community,Saal,Cleistocalyx operculatus,0,5,1,0.000490874,,
