"region","height"
"Region_1",143.74
"Region_1",151.84
"Region_1",141.64
"Region_1",165.95
"Region_1",153.3
"Region_1",141.8
"Region_1",154.87
"Region_1",157.38
"Region_1",155.76
"Region_1",146.95
"Region_1",165.12
"Region_1",153.9
"Region_1",143.79
"Region_1",127.85
"Region_1",161.25
"Region_1",149.55
"Region_1",149.84
"Region_1",159.44
"Region_1",158.21
"Region_1",155.94
"Region_1",159.19
"Region_1",157.82
"Region_1",150.75
"Region_1",130.11
"Region_1",156.2
"Region_1",149.44
"Region_1",148.44
"Region_1",135.29
"Region_1",145.22
"Region_1",154.18
"Region_1",163.59
"Region_1",148.97
"Region_1",153.88
"Region_1",149.46
"Region_1",136.23
"Region_1",145.85
"Region_1",146.06
"Region_1",149.41
"Region_1",161
"Region_1",157.63
"Region_1",148.35
"Region_1",147.47
"Region_1",156.97
"Region_1",155.57
"Region_1",143.11
"Region_1",142.93
"Region_1",153.65
"Region_1",157.69
"Region_1",148.88
"Region_1",158.81
"Region_2",159.78
"Region_2",147.66
"Region_2",159.09
"Region_2",141.45
"Region_2",172.2
"Region_2",178.76
"Region_2",150.59
"Region_2",142.47
"Region_2",161.84
"Region_2",153.38
"Region_2",183.82
"Region_2",154.53
"Region_2",163.28
"Region_2",155.34
"Region_2",146.08
"Region_2",157.27
"Region_2",133.34
"Region_2",172.59
"Region_2",156.84
"Region_2",181.07
"Region_2",160.71
"Region_2",146.48
"Region_2",162.33
"Region_2",143.79
"Region_2",139.96
"Region_2",158.5
"Region_2",149.68
"Region_2",155.01
"Region_2",155.89
"Region_2",147.93
"Region_2",148.18
"Region_2",153.38
"Region_2",169.14
"Region_2",136.72
"Region_2",162.13
"Region_2",159
"Region_2",167.76
"Region_2",151.35
"Region_2",159.44
"Region_2",158.21
"Region_2",148.49
"Region_2",169.49
"Region_2",168.92
"Region_2",163.4
"Region_2",174.04
"Region_2",161.7
"Region_2",139.68
"Region_2",148.12
"Region_2",140.3
"Region_2",149.32
"Region_3",143.04
"Region_3",148.34
"Region_3",140.71
"Region_3",149.26
"Region_3",142.76
"Region_3",162.14
"Region_3",153.73
"Region_3",155.28
"Region_3",151.07
"Region_3",161.46
"Region_3",142.91
"Region_3",144.31
"Region_3",159.46
"Region_3",142.79
"Region_3",146.34
"Region_3",144.86
"Region_3",145.44
"Region_3",145.77
"Region_3",151.95
"Region_3",146.58
"Region_3",143.95
"Region_3",158.74
"Region_3",146.28
"Region_3",146.56
"Region_3",147.2
"Region_3",153.7
"Region_3",147.41
"Region_3",147.7
"Region_3",142.55
"Region_3",145.41
"Region_3",148.48
"Region_3",143.29
"Region_3",152.25
"Region_3",135.85
"Region_3",150.45
"Region_3",135.71
"Region_3",145.59
"Region_3",143.77
"Region_3",142.78
"Region_3",147.54
"Region_3",132.69
"Region_3",157.41
"Region_3",134.68
"Region_3",144.29
"Region_3",139.07
"Region_3",141.99
"Region_3",164.7
"Region_3",148.14
"Region_3",137.71
"Region_3",134.88
