"light_condition","growth_rate"
"Low",0.73
"Low",0.38
"Low",0.43
"Low",0.46
"Low",0.4
"Low",0.41
"Low",0.57
"Low",0.49
"Low",0.52
"Low",0.72
"Low",0.54
"Low",0.77
"Low",0.73
"Low",0.53
"Low",0.69
"Low",0.55
"Low",0.41
"Low",0.47
"Low",0.5
"Low",0.6
"Low",0.58
"Low",0.57
"Low",0.63
"Low",0.36
"Low",0.63
"Low",0.52
"Low",0.58
"Low",0.56
"Low",0.4
"Low",0.47
"Low",0.41
"Low",0.57
"Low",0.51
"Low",0.49
"Low",0.46
"Low",0.44
"Low",0.6
"Low",0.39
"Low",0.49
"Low",0.53
"Low",0.62
"Low",0.43
"Low",0.47
"Low",0.37
"Low",0.46
"Low",0.46
"Low",0.64
"Low",0.56
"Low",0.51
"Low",0.59
"High",0.57
"High",0.6
"High",0.64
"High",0.77
"High",0.67
"High",0.65
"High",0.44
"High",0.63
"High",0.62
"High",0.51
"High",0.61
"High",0.62
"High",0.65
"High",0.67
"High",0.63
"High",0.71
"High",0.68
"High",0.72
"High",0.73
"High",0.67
"High",0.64
"High",0.51
"High",0.54
"High",0.51
"High",0.44
"High",0.47
"High",0.51
"High",0.54
"High",0.59
"High",0.84
"High",0.63
"High",0.6
"High",0.6
"High",0.56
"High",0.52
"High",0.57
"High",0.57
"High",0.57
"High",0.42
"High",0.66
"High",0.76
"High",0.54
"High",0.66
"High",0.62
"High",0.68
"High",0.54
"High",0.71
"High",0.45
"High",0.56
"High",0.58
