"plant_id","height_before","height_after"
1,51.29,52.69
2,59.16,55.02
3,48.3,62.25
4,54.49,58.76
5,52.44,59.83
6,43.72,57.34
7,50.11,53.8
8,55.45,60.16
9,49.34,51.8
10,44.62,48.42
11,54.28,56.81
12,48.18,58.61
13,50.83,67.43
14,43.79,50.07
15,57.3,53.31
16,49.98,61.27
17,49.9,49.36
18,50.16,62.8
19,44.16,58.54
20,47.4,59.67
21,56.87,58.42
22,57.06,60.1
23,47.99,53.8
24,47.8,63.39
25,55.05,57.05
26,52.15,50.56
27,53.67,51.51
28,46.6,57.6
29,51.63,60.78
30,54.54,54.45
