"soil_treatment","root_length"
"Treatment_1",8.02
"Treatment_1",69.93
"Treatment_1",0.21
"Treatment_1",42.04
"Treatment_1",24.63
"Treatment_1",8.53
"Treatment_1",0.85
"Treatment_1",12.83
"Treatment_1",4.68
"Treatment_1",1.47
"Treatment_1",8.02
"Treatment_1",8.34
"Treatment_1",11.48
"Treatment_1",10.95
"Treatment_1",27.84
"Treatment_1",13.87
"Treatment_1",12.86
"Treatment_1",0.1
"Treatment_1",10.04
"Treatment_1",13.4
"Treatment_1",20.06
"Treatment_1",6.25
"Treatment_1",2.84
"Treatment_1",8.01
"Treatment_1",27.36
"Treatment_1",7.17
"Treatment_1",29.22
"Treatment_1",9.21
"Treatment_1",2.76
"Treatment_1",45.26
"Treatment_1",0.06
"Treatment_1",1.96
"Treatment_1",8.47
"Treatment_1",9.79
"Treatment_1",16.88
"Treatment_1",1.94
"Treatment_1",14.64
"Treatment_1",5.05
"Treatment_1",17.79
"Treatment_1",1.6
"Treatment_1",5.03
"Treatment_1",18.49
"Treatment_1",29.06
"Treatment_1",2.39
"Treatment_1",3.72
"Treatment_1",8.35
"Treatment_1",1.87
"Treatment_1",10.23
"Treatment_1",11.49
"Treatment_1",14.22
"Treatment_2",0.11
"Treatment_2",11.18
"Treatment_2",12.78
"Treatment_2",1.99
"Treatment_2",4.18
"Treatment_2",10.93
"Treatment_2",29.93
"Treatment_2",10.13
"Treatment_2",1.16
"Treatment_2",12.37
"Treatment_2",8.86
"Treatment_2",8.86
"Treatment_2",13.59
"Treatment_2",4.99
"Treatment_2",2.55
"Treatment_2",3.21
"Treatment_2",0.84
"Treatment_2",10.21
"Treatment_2",2.75
"Treatment_2",16.79
"Treatment_2",7.72
"Treatment_2",6.03
"Treatment_2",2.07
"Treatment_2",10.16
"Treatment_2",11.67
"Treatment_2",4.74
"Treatment_2",2.92
"Treatment_2",0.99
"Treatment_2",0.33
"Treatment_2",10.1
"Treatment_2",5.88
"Treatment_2",3.66
"Treatment_2",2.08
"Treatment_2",2.51
"Treatment_2",11.69
"Treatment_2",6.78
"Treatment_2",1.41
"Treatment_2",3.53
"Treatment_2",12.21
"Treatment_2",10.19
"Treatment_2",12.42
"Treatment_2",2.08
"Treatment_2",0.89
"Treatment_2",5.99
"Treatment_2",4.8
"Treatment_2",5.22
"Treatment_2",4.12
"Treatment_2",12.28
"Treatment_2",21.53
"Treatment_2",0.86
