"leaf_area","number_of_leaves"
34.63,18
25.26,14
34,16
22.24,10
25.54,14
28.95,16
23.78,12
26.92,9
19.15,10
32.59,17
25.36,9
22.36,14
22.38,8
28.73,15
19.09,8
18.23,8
23.94,10
24.55,16
26.29,12
31.02,17
24.13,11
28.45,13
27.07,13
17.85,8
18.5,11
32.02,18
23.9,10
35.66,18
15.83,11
24.45,11
28.83,11
26.62,11
21.32,9
30.73,15
23.61,11
30.28,13
26.84,13
29.24,16
18.69,12
27.64,16
30.45,18
21.5,10
32.11,20
32.2,17
18.52,10
20.51,11
15.58,9
25.14,13
20.46,7
16.76,7
