"plant_height","biomass"
146.31,433.24
156.11,471.76
133.71,398.67
151.42,453.63
147.35,441.91
144.98,433.26
162.23,487.18
154.32,457.81
149.93,449.8
166.73,504.88
141.33,424.12
166.36,501.3
139.79,418.52
141.88,426.95
149.49,449.66
148.87,444.64
158.53,476.16
157.47,472.47
153.89,463.27
148.14,441.81
163.25,495.29
154.54,462.93
149.17,449.52
149.29,453.5
136.55,411.31
147.99,449.73
147.64,443.62
149.42,446.45
139.68,420.67
141.33,423
158.48,474.38
151.23,454.96
154.02,457.91
159.22,477.27
167.87,503.99
148.21,442.06
146.08,438.66
157.22,471.06
159.59,476.68
137.05,412.79
153.39,462.17
138.52,416.43
139.09,418.2
130.06,387.98
154.3,464.12
167.07,501.24
134.18,404.01
146.43,441.78
133.01,397.56
138.48,415.3
